측정월,측정소명,미세먼지,초미세먼지
202403,강남구,42,22
202403,강동구,43,21
202403,강북구,39,20
202403,강서구,46,20
202403,관악구,47,23
202403,광진구,38,21
202403,구로구,50,21
202403,금천구,45,24
202403,노원구,43,25
202403,도봉구,41,23
202403,동대문구,44,22
202403,동작구,43,24
202403,마포구,42,23
202403,서대문구,44,26
202403,서초구,54,24
202403,성동구,41,20
202403,성북구,41,21
202403,송파구,44,21
202403,양천구,45,23
202403,영등포구,41,24
202403,용산구,43,21
202403,은평구,44,23
202403,종로구,41,25
202403,중구,36,24
202403,중랑구,34,22
202402,강남구,32,22
202402,강동구,29,20
202402,강북구,31,21
202402,강서구,36,21
202402,관악구,37,23
202402,광진구,28,20
202402,구로구,37,22
202402,금천구,34,24
202402,노원구,35,27
202402,도봉구,30,23
202402,동대문구,34,22
202402,동작구,34,23
202402,마포구,33,24
202402,서대문구,34,26
202402,서초구,36,22
202402,성동구,30,19
202402,성북구,31,22
202402,송파구,32,21
202402,양천구,36,24
202402,영등포구,33,25
202402,용산구,33,22
202402,은평구,32,21
202402,종로구,33,26
202402,중구,29,23
202402,중랑구,28,22
202401,강남구,35,24
202401,강동구,35,24
202401,강북구,34,23
202401,강서구,37,21
202401,관악구,38,23
202401,광진구,31,21
202401,구로구,39,24
202401,금천구,36,26
202401,노원구,39,27
202401,도봉구,32,24
202401,동대문구,35,23
202401,동작구,36,25
202401,마포구,32,24
202401,서대문구,34,25
202401,서초구,40,23
202401,성동구,35,21
202401,성북구,34,24
202401,송파구,34,22
202401,양천구,38,26
202401,영등포구,33,24
202401,용산구,33,21
202401,은평구,35,22
202401,종로구,36,28
202401,중구,31,25
202401,중랑구,31,24
202312,강남구,35,21
202312,강동구,36,20
202312,강북구,34,20
202312,강서구,39,19
202312,관악구,41,22
202312,광진구,32,18
202312,구로구,41,23
202312,금천구,37,22
202312,노원구,40,24
202312,도봉구,34,22
202312,동대문구,37,20
202312,동작구,38,23
202312,마포구,35,22
202312,서대문구,34,22
202312,서초구,42,21
202312,성동구,36,20
202312,성북구,37,21
202312,송파구,35,20
202312,양천구,39,24
202312,영등포구,35,22
202312,용산구,35,19
202312,은평구,35,20
202312,종로구,37,24
202312,중구,32,22
202312,중랑구,31,20
202311,강남구,30,17
202311,강동구,32,16
202311,강북구,28,16
202311,강서구,32,15
202311,관악구,33,17
202311,광진구,28,15
202311,구로구,30,16
202311,금천구,31,17
202311,노원구,30,18
202311,도봉구,29,17
202311,동대문구,32,17
202311,동작구,30,17
202311,마포구,30,17
202311,서대문구,28,18
202311,서초구,39,21
202311,성동구,30,16
202311,성북구,31,16
202311,송파구,31,17
202311,양천구,32,16
202311,영등포구,29,17
202311,용산구,30,16
202311,은평구,29,16
202311,종로구,30,18
202311,중구,26,18
202311,중랑구,27,17
202310,강남구,27,15
202310,강동구,32,17
202310,강북구,24,13
202310,강서구,29,13
202310,관악구,32,16
202310,광진구,25,13
202310,구로구,28,14
202310,금천구,27,14
202310,노원구,27,15
202310,도봉구,23,14
202310,동대문구,29,15
202310,동작구,27,14
202310,마포구,28,15
202310,서대문구,25,15
202310,서초구,33,15
202310,성동구,26,15
202310,성북구,29,14
202310,송파구,29,15
202310,양천구,29,14
202310,영등포구,27,16
202310,용산구,29,15
202310,은평구,25,13
202310,종로구,26,16
202310,중구,22,14
202310,중랑구,26,14
202309,강남구,21,13
202309,강동구,23,12
202309,강북구,20,11
202309,강서구,21,11
202309,관악구,25,13
202309,광진구,21,11
202309,구로구,18,8
202309,금천구,21,11
202309,노원구,20,12
202309,도봉구,16,10
202309,동대문구,22,12
202309,동작구,22,13
202309,마포구,23,13
202309,서대문구,16,10
202309,서초구,21,9
202309,성동구,20,12
202309,성북구,17,10
202309,송파구,23,12
202309,양천구,21,11
202309,영등포구,21,13
202309,용산구,23,13
202309,은평구,17,10
202309,종로구,19,12
202309,중구,16,11
202309,중랑구,21,12
202308,강남구,23,15
202308,강동구,21,13
202308,강북구,23,14
202308,강서구,23,14
202308,관악구,26,15
202308,광진구,22,14
202308,구로구,18,9
202308,금천구,22,16
202308,노원구,22,14
202308,도봉구,16,11
202308,동대문구,23,14
