측정소명,latitude,longitude
강남구,37.5175686,127.0474869
강동구,37.54505,127.1368011
강북구,37.6479249,127.0119122
강서구,37.5446703,126.8351964
관악구,37.487414,126.9271154
광진구,37.5451647,127.0954224
구로구,37.4985246,126.8899399
금천구,37.443285,126.9051344
노원구,37.6588188,127.0685263
도봉구,37.6543099,127.0290053
동대문구,37.5759108,127.0289656
동작구,37.4809542,126.9714903
마포구,37.5555808,126.9058605
서대문구,37.5937611,126.9497306
서초구,37.5045901,126.9944678
성동구,37.5419956,127.0496531
성북구,37.6066765,127.0272892
송파구,37.502773,127.092549
양천구,37.5259743,126.8566371
영등포구,37.5262625,126.8959528
용산구,37.5349247,127.0001945
은평구,37.6101826,126.9332008
종로구,37.5720506,127.0050264
중구,37.5643082,126.9744408
중랑구,37.5849006,127.0940345
